time (sec), current (uA)
107.463, 89.27
107.540, 85.38
107.663, 88.06
107.740, 91.19
107.863, 84.02
107.940, 86.51
108.063, 87.44
108.140, 87.15
108.263, 87.93
108.340, 82.44
108.463, 85.98
108.540, 86.39
108.663, 88.86
108.740, 84.33
108.863, 88.22
108.940, 86.33
109.063, 84.33
109.140, 88.33
109.263, 88.42
109.340, 86.28
109.463, 91.29
109.540, 87.75
109.663, 87.09
109.740, 85.13
109.863, 87.35
109.940, 84.24
110.063, 85.05
110.140, 84.92
110.263, 89.08
110.340, 86.22
110.463, 93.04
110.540, 88.39
110.663, 89.40
110.740, 87.00
110.863, 90.07
110.940, 82.08
111.063, 91.33
111.140, 85.93
111.263, 88.51
111.340, 92.09
111.463, 88.50
111.540, 88.19
111.663, 92.24
111.740, 90.33
111.863, 88.26
111.940, 86.53
112.063, 92.17
112.140, 91.12
112.263, 92.64
112.340, 84.34
112.463, 86.37
112.540, 84.70
112.663, 90.93
112.740, 87.87
112.863, 85.87
112.940, 93.47
113.063, 95.48
113.140, 87.31
113.263, 94.24
113.340, 90.24
113.463, 91.07
113.540, 85.88
113.663, 86.91
113.740, 84.82
113.863, 93.31
113.940, 82.27
114.063, 82.07
114.140, 86.96
114.263, 89.73
114.340, 90.12
114.463, 88.26
114.540, 91.31
114.663, 92.27
114.740, 92.50
114.863, 90.16
114.940, 87.37
115.063, 86.52
115.140, 82.89
115.263, 91.95
115.340, 84.06
115.463, 92.56
115.540, 82.89
115.663, 88.05
115.740, 82.72
115.863, 86.41
115.940, 92.01
116.063, 90.65
116.140, 82.29
116.263, 85.44
116.340, 93.31
116.463, 86.86
116.540, 88.36
116.663, 86.39
116.740, 90.10
116.863, 89.32
116.940, 88.17
117.063, 93.07
117.140, 86.32
117.263, 87.54
117.340, 88.50
117.463, 88.35
117.540, 85.69
117.663, 87.45
117.740, 81.91
117.863, 90.25
117.940, 86.46
118.063, 85.92
118.140, 81.65
118.263, 85.74
118.340, 92.56
118.463, 87.94
118.540, 84.08
118.663, 87.02
118.740, 87.04
118.863, 88.96
118.940, 90.63
119.063, 88.34
119.140, 85.20
119.263, 88.55
119.340, 93.09
119.463, 88.00
119.540, 86.37
119.663, 89.09
119.740, 90.72
119.863, 86.28
119.940, 85.18
120.063, 89.47
120.140, 83.71
120.263, 86.51
120.340, 80.94
120.463, 89.71
120.540, 87.60
120.663, 87.94
120.740, 85.24
120.863, 86.48
120.940, 88.84
121.063, 89.74
121.140, 88.38
121.263, 86.57
121.340, 93.83
121.463, 88.64
121.540, 88.90
121.663, 86.13
121.740, 87.51
121.863, 90.45
121.940, 85.78
122.063, 88.01
122.140, 88.85
122.263, 89.45
122.340, 89.44
122.463, 85.50
122.540, 87.81
122.663, 87.36
122.740, 83.63
122.863, 84.92
122.940, 91.73
123.063, 86.91
123.140, 85.91
123.263, 83.80
123.340, 86.98
123.463, 87.05
123.540, 85.64
123.663, 91.56
123.740, 88.13
123.863, 87.99
123.940, 89.04
124.063, 90.03
124.140, 89.89
124.263, 89.07
124.340, 97.00
124.463, 86.40
124.540, 88.48
124.663, 87.96
124.740, 94.09
124.863, 88.48
124.940, 86.07
125.063, 87.41
125.140, 92.41
125.263, 87.11
125.340, 89.13
125.463, 89.23
125.540, 87.52
125.663, 89.00
125.740, 92.87
125.863, 86.11
125.940, 87.06
126.063, 82.98
126.140, 83.90
126.263, 86.12
126.340, 90.20
126.463, 87.23
126.540, 87.69
126.663, 86.46
126.740, 88.30
126.863, 88.48
126.940, 87.47
127.063, 87.66
127.140, 84.70
127.263, 86.59
127.340, 86.92
127.463, 89.00
127.540, 84.51
127.663, 88.14
127.740, 89.34
127.863, 91.52
127.940, 92.97
128.063, 88.26
128.140, 87.07
128.263, 92.06
128.340, 94.33
128.463, 85.60
128.540, 89.98
128.663, 88.96
128.740, 91.87
128.863, 90.50
128.940, 93.17
129.063, 90.48
129.140, 88.95
129.263, 89.45
129.340, 92.56
129.463, 86.25
129.540, 89.44
129.663, 87.83
129.740, 93.81
129.863, 84.82
129.940, 83.89
130.063, 87.94
130.140, 90.09
130.263, 86.07
130.340, 89.36
130.463, 87.65
130.540, 89.23
130.663, 90.78
130.740, 84.32
130.863, 90.99
130.940, 95.60
131.063, 91.68
131.140, 87.48
131.263, 86.74
131.340, 90.73
131.463, 86.95
131.540, 85.59
131.663, 86.84
131.740, 92.23
131.863, 89.80
131.940, 90.83
132.063, 88.90
132.140, 85.70
132.263, 90.12
132.340, 84.75
132.463, 86.15
132.540, 94.32
132.663, 87.10
132.740, 88.03
132.863, 86.47
132.940, 86.53
133.063, 86.41
133.140, 92.06
133.263, 84.94
133.340, 92.98
133.463, 88.86
133.540, 91.55
133.663, 87.85
133.740, 86.26
133.863, 89.89
133.940, 86.38
134.063, 86.42
134.140, 82.18
134.263, 89.11
134.340, 82.03
134.463, 87.74
134.540, 87.72
134.663, 87.46
134.740, 81.59
134.863, 83.64
134.940, 88.52
135.063, 85.39
135.140, 85.51
135.263, 87.04
135.340, 90.29
135.463, 87.49
135.540, 84.61
135.663, 87.54
135.740, 87.65
135.863, 92.00
135.940, 86.70
136.063, 85.78
136.140, 85.88
136.263, 86.66
136.340, 90.35
136.463, 87.98
136.540, 93.15
136.663, 85.75
136.740, 91.46
136.863, 85.72
136.940, 85.50
137.063, 89.76
137.140, 86.41
137.263, 89.10
137.340, 91.27
137.463, 89.75
137.540, 92.36
137.663, 88.29
137.740, 87.29
137.863, 85.25
137.940, 82.98
138.063, 91.52
138.140, 90.81
138.263, 88.68
138.340, 88.37
138.463, 87.29
138.540, 94.68
138.663, 86.86
138.740, 90.02
138.863, 85.69
138.940, 88.36
139.063, 86.73
139.140, 83.79
139.263, 87.34
139.340, 82.92
139.463, 85.82
139.540, 83.83
139.663, 88.02
139.740, 82.32
139.863, 88.27
139.940, 83.31
140.063, 90.49
140.140, 91.98
140.263, 83.52
140.340, 88.77
140.463, 88.29
140.540, 86.12
140.663, 87.88
140.740, 87.80
140.863, 89.12
140.940, 84.23
141.063, 88.25
141.140, 83.57
141.263, 89.20
141.340, 85.80
141.463, 87.22
141.540, 83.64
141.663, 88.02
141.740, 90.11
141.863, 87.67
141.940, 92.33
142.063, 94.20
142.140, 90.15
142.263, 84.45
142.340, 87.13
142.463, 88.60
142.540, 87.00
142.663, 85.75
142.740, 90.94
142.863, 86.60
142.940, 89.27
143.063, 88.92
143.140, 88.21
143.263, 87.43
143.340, 87.04
143.463, 88.42
143.540, 84.89
143.663, 86.73
143.740, 82.04
143.863, 89.02
143.940, 87.64
144.063, 87.22
144.140, 86.93
144.263, 87.51
144.340, 88.21
144.463, 89.80
144.540, 91.91
144.663, 89.17
144.740, 86.75
144.863, 84.51
144.940, 83.09
145.063, 87.63
145.140, 90.13
145.263, 85.56
145.340, 88.29
145.463, 86.56
145.540, 88.25
145.663, 91.32
145.740, 89.82
145.863, 87.04
145.940, 88.39
146.063, 87.16
146.140, 87.04
146.263, 87.35
146.340, 87.95
146.463, 90.96
146.540, 85.34
146.663, 83.75
146.740, 92.00
146.863, 85.83
146.940, 87.51
147.063, 87.86
147.140, 90.93
147.263, 87.48
147.340, 84.67
147.463, 82.66
147.540, 96.30
147.663, 83.89
147.740, 84.02
147.863, 87.96
147.940, 86.24
148.063, 84.71
148.140, 86.59
148.263, 86.42
148.340, 95.65
148.463, 85.94
148.540, 85.46
148.663, 86.21
148.740, 96.73
148.863, 86.83
148.940, 86.59
149.063, 85.18
149.140, 94.73
149.263, 86.59
149.340, 82.15
149.463, 88.87
