time (sec), voltage (V)
28.452, -0.27
28.452, -0.20
28.459, 1.11
28.545, 1.11
28.650, -0.63
28.652, -0.27
28.659, 1.11
28.744, 1.16
28.859, 1.14
28.944, 1.16
28.953, -0.68
28.953, -0.80
28.955, -0.91
28.956, -1.12
29.050, -0.74
29.050, -0.70
29.058, 0.93
29.145, 1.02
29.151, -0.23
29.153, -0.58
29.155, -0.90
29.156, -1.11
29.259, 1.07
29.345, 1.02
29.355, -0.91
29.356, -1.10
29.459, 1.08
29.545, 1.06
29.552, -0.44
29.554, -0.83
29.556, -1.15
29.556, -1.20
29.650, -0.54
29.652, -0.37
29.657, 0.71
29.658, 0.96
29.658, 1.00
29.745, 1.02
29.752, -0.33
29.756, -1.07
29.852, -0.31
29.852, -0.19
29.858, 1.00
29.945, 0.99
29.953, -0.71
29.956, -1.16
30.050, -0.58
30.051, -0.40
30.059, 1.13
30.144, 1.20
30.153, -0.81
30.156, -1.13
30.258, 1.06
30.345, 1.01
30.351, -0.19
30.352, -0.40
30.452, -0.29
30.452, -0.17
30.458, 0.96
30.544, 1.15
30.552, -0.40
30.555, -1.04
30.657, 0.73
30.658, 0.88
30.659, 1.09
30.745, 1.02
30.752, -0.37
30.755, -0.99
30.850, -0.58
30.852, -0.32
30.859, 1.22
30.945, 1.04
30.951, -0.23
30.954, -0.95
31.049, -0.82
31.052, -0.32
31.059, 1.09
31.145, 1.11
31.153, -0.56
31.155, -1.04
31.252, -0.36
31.253, -0.13
31.259, 1.20
31.345, 1.06
31.352, -0.45
31.354, -0.96
31.451, -0.54
31.452, -0.30
31.457, 0.75
31.457, 0.85
31.458, 1.01
31.544, 1.15
31.551, -0.22
31.552, -0.45
31.555, -0.96
31.556, -1.09
31.658, 1.04
31.745, 1.13
31.755, -1.00
31.756, -1.13
31.850, -0.59
31.852, -0.33
31.859, 1.21
31.945, 1.02
32.052, -0.29
32.052, -0.21
32.058, 1.02
32.144, 1.15
32.152, -0.30
32.152, -0.44
32.251, -0.43
32.252, -0.17
32.259, 1.22
32.345, 0.98
32.352, -0.35
32.354, -0.90
32.452, -0.29
32.452, -0.15
32.459, 1.07
32.545, 1.12
32.555, -0.91
32.556, -1.11
32.650, -0.71
32.652, -0.34
32.658, 0.98
32.745, 1.03
32.752, -0.32
32.752, -0.43
32.859, 1.09
32.945, 1.00
32.954, -0.83
32.955, -1.02
33.050, -0.52
33.052, -0.28
33.059, 1.22
33.145, 1.03
33.151, -0.22
33.152, -0.42
33.155, -1.03
33.156, -1.12
33.157, -1.33
33.157, -1.34
33.252, -0.33
33.253, -0.10
33.258, 1.05
33.345, 1.07
33.353, -0.75
33.355, -1.05
33.459, 1.18
33.544, 1.23
33.544, 1.23
33.545, 1.02
33.658, 0.90
33.659, 1.15
33.659, 1.17
33.744, 1.17
33.752, -0.27
33.754, -0.87
33.755, -0.98
33.756, -1.11
33.850, -0.58
33.852, -0.32
33.857, 0.85
33.945, 1.09
33.951, -0.20
33.955, -1.06
34.049, -0.76
34.052, -0.28
34.058, 0.96
34.145, 0.98
34.250, -0.56
34.252, -0.32
34.257, 0.77
34.257, 0.81
34.258, 1.01
34.345, 1.09
34.353, -0.69
34.355, -1.09
34.452, -0.31
34.452, -0.16
34.457, 0.76
34.457, 0.77
34.459, 1.14
34.545, 1.01
34.551, -0.20
34.552, -0.44
34.555, -1.04
34.556, -1.11
34.649, -0.74
34.653, -0.13
34.658, 1.06
34.745, 1.06
34.751, -0.20
34.755, -1.03
34.849, -0.77
34.852, -0.18
34.858, 0.95
34.858, 1.02
34.859, 1.23
34.945, 1.12
34.953, -0.87
34.954, -1.05
35.052, -0.22
35.052, -0.13
35.059, 1.10
35.145, 1.01
35.153, -0.85
35.155, -1.07
35.259, 1.20
35.345, 1.00
35.355, -1.00
35.355, -1.03
35.450, -0.53
35.452, -0.33
35.458, 0.95
35.459, 1.10
35.459, 1.17
35.545, 1.04
35.551, -0.21
35.553, -0.65
35.555, -1.01
35.556, -1.11
35.652, -0.35
35.653, -0.13
35.660, 1.27
35.745, 0.96
35.752, -0.41
35.754, -1.05
35.850, -0.71
35.852, -0.27
35.857, 0.87
35.945, 1.12
